Date,Close,High,Low,Open,Volume
2014-02-10,15801.7900390625,15801.7900390625,15733.6904296875,15793.6298828125,84110000
2014-02-11,15994.76953125,16027.1904296875,15803.400390625,15804.169921875,95930000
2014-02-12,15963.9404296875,16036.5595703125,15928.75,15993.0400390625,77310000
2014-02-13,16027.58984375,16039.3701171875,15863.25,15946.990234375,99470000
2014-02-14,16154.3896484375,16175.5498046875,15985.3896484375,16018.080078125,84060000
2014-02-18,16130.400390625,16167.330078125,16107.0400390625,16153.9697265625,91250000
2014-02-19,16040.5595703125,16225.7197265625,16031.66015625,16126.23046875,80560000
2014-02-20,16133.23046875,16161.6396484375,16006.58984375,16044.150390625,77720000
2014-02-21,16103.2998046875,16191.919921875,16093.7998046875,16135.919921875,126580000
2014-02-24,16207.1396484375,16300.0400390625,16102.26953125,16102.26953125,244580000
2014-02-25,16179.66015625,16254.259765625,16147.25,16207.33984375,99470000
2014-02-26,16198.41015625,16252.349609375,16155.8603515625,16180.3603515625,93980000
2014-02-27,16272.650390625,16276.2802734375,16159.8095703125,16197.7001953125,97640000
2014-02-28,16321.7099609375,16398.94921875,16226.08984375,16273.23046875,122110000
2014-03-03,16168.0302734375,16321.7099609375,16071.25,16321.7099609375,92760000
2014-03-04,16395.880859375,16419.490234375,16169.3203125,16169.3203125,96120000
2014-03-05,16360.1796875,16406.55078125,16343.9599609375,16395.880859375,73980000
2014-03-06,16421.890625,16450.169921875,16360.5595703125,16360.5595703125,75900000
2014-03-07,16452.720703125,16505.69921875,16398.859375,16424.529296875,80690000
2014-03-10,16418.6796875,16453.099609375,16334.2001953125,16453.099609375,68210000
2014-03-11,16351.25,16460.330078125,16325.169921875,16419.390625,78150000
2014-03-12,16340.080078125,16364.740234375,16260.0302734375,16350.669921875,77900000
2014-03-13,16108.8896484375,16405.0703125,16084.099609375,16341.5498046875,86160000
2014-03-14,16065.669921875,16165.0498046875,16046.990234375,16106.3203125,85660000
2014-03-17,16247.2197265625,16270.33984375,16066.3701171875,16066.3701171875,88930000
2014-03-18,16336.1904296875,16369.9404296875,16245.9296875,16245.9296875,79140000
2014-03-19,16222.169921875,16363.3203125,16126.2900390625,16335.7099609375,90110000
2014-03-20,16331.0498046875,16353.98046875,16160.330078125,16221.98046875,91530000
2014-03-21,16302.76953125,16456.44921875,16290.7900390625,16332.6904296875,353670000
2014-03-24,16276.6904296875,16380.509765625,16215.5595703125,16303.2802734375,110620000
2014-03-25,16367.8798828125,16407.1796875,16279.2001953125,16279.2001953125,89110000
2014-03-26,16268.990234375,16466.0390625,16268.990234375,16370.7099609375,92770000
2014-03-27,16264.23046875,16300.9404296875,16191.7900390625,16268.669921875,93650000
2014-03-28,16323.0595703125,16414.859375,16267.76953125,16267.76953125,86370000
2014-03-31,16457.66015625,16480.849609375,16324.2197265625,16324.2197265625,104510000
2014-04-01,16532.609375,16565.73046875,16457.599609375,16458.05078125,88010000
2014-04-02,16573.0,16588.189453125,16506.599609375,16532.80078125,78120000
2014-04-03,16572.55078125,16604.150390625,16527.599609375,16572.359375,77220000
2014-04-04,16412.7109375,16631.630859375,16392.76953125,16576.01953125,104350000
2014-04-07,16245.8701171875,16421.380859375,16244.009765625,16414.150390625,116540000
2014-04-08,16256.1396484375,16296.8603515625,16180.2802734375,16245.16015625,98510000
2014-04-09,16437.1796875,16438.8203125,16256.3701171875,16256.3701171875,91550000
2014-04-10,16170.2197265625,16456.119140625,16153.33984375,16437.240234375,112550000
2014-04-11,16026.75,16168.8701171875,16015.3203125,16168.8701171875,119550000
2014-04-14,16173.240234375,16184.759765625,16028.2900390625,16028.2900390625,90020000
2014-04-15,16262.5595703125,16272.9501953125,16063.2001953125,16173.490234375,97850000
2014-04-16,16424.849609375,16424.849609375,16266.23046875,16266.23046875,94650000
