Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2007-01-03,2.521843671798706,48.10194778442383,1.934999942779541,45.64658737182617,64.40575408935547,38.02678680419922,8.967412948608398,18.378694534301758,35.568843841552734,27.971546173095703,150.39837646484375,25.984498977661133,28.630138397216797,51.82647705078125,39.21438217163086,30.147159576416016,13.998143196105957,26.533018112182617,37.93543243408203,22.408771514892578,21.277881622314453,9.683737754821777,0.5514736771583557,38.38235855102539,16.67232322692871,34.74580001831055,41.900413513183594,,14.051736831665039,10.829034805297852
2007-01-04,2.5778186321258545,50.162445068359375,1.9450000524520874,45.313838958740234,64.66572570800781,37.92729949951172,9.417400360107422,18.86251449584961,35.22300720214844,28.19236946105957,148.99722290039062,25.668161392211914,28.617456436157227,52.38060760498047,39.70457458496094,30.222431182861328,14.003900527954102,26.33343505859375,37.78516387939453,22.963647842407227,21.242252349853516,9.782889366149902,0.5488754510879517,38.090946197509766,16.588132858276367,34.453800201416016,42.17140197753906,,14.129758834838867,10.881413459777832
2007-01-05,2.5594608783721924,50.2819938659668,1.9184999465942383,44.7164192199707,64.39127349853516,37.442344665527344,9.825122833251953,18.869142532348633,35.35833740234375,27.963369369506836,149.14707946777344,25.174665451049805,28.34446907043457,51.90639877319336,39.344329833984375,29.971572875976562,13.90593433380127,26.33343505859375,37.52823257446289,22.55129623413086,21.121105194091797,9.798752784729004,0.5144847631454468,37.76385498046875,16.30136489868164,34.00612258911133,41.88446044921875,,13.888252258300781,10.792595863342285
2007-01-08,2.5720996856689453,49.88115310668945,1.875,45.1399040222168,64.23959350585938,37.48585510253906,9.927053451538086,18.97518539428711,35.809410095214844,28.216903686523438,152.65374755859375,24.984861373901367,28.515859603881836,52.6949462890625,39.27936553955078,30.0718936920166,13.995262145996094,26.436250686645508,37.61064529418945,22.546218872070312,21.3277587890625,9.769006729125977,0.5183061957359314,37.847110748291016,16.23295783996582,33.753055572509766,42.49818801879883,,13.826282501220703,10.703780174255371
2007-01-09,2.7857635021209717,50.120262145996094,1.8890000581741333,44.852535247802734,63.560665130615234,37.691017150878906,9.934511184692383,18.869142532348633,35.398441314697266,28.176010131835938,152.91598510742188,24.877302169799805,28.719009399414062,53.3183479309082,39.13172149658203,29.946481704711914,14.006782531738281,26.48464584350586,37.654266357421875,22.337501525878906,21.349140167236328,9.890959739685059,0.5082184076309204,37.751956939697266,16.39081573486328,33.66871643066406,41.98806381225586,,13.88261890411377,10.792595863342285
2007-01-10,2.9190800189971924,49.958526611328125,1.8574999570846558,44.822288513183594,64.47796630859375,37.504512786865234,10.001636505126953,19.008325576782227,34.786991119384766,28.208728790283203,155.9357147216797,25.168331146240234,28.541263580322266,52.68964767456055,39.06674575805664,30.16597557067871,14.026951789855957,26.768896102905273,37.73666000366211,22.45968246459961,21.135364532470703,9.890959739685059,0.5332849025726318,38.20393753051758,16.582883834838867,33.44809341430664,42.107635498046875,,13.803747177124023,10.76754379272461
2007-01-11,2.8829662799835205,50.57032012939453,1.8700000047683716,44.95840072631836,64.1673812866211,37.30556106567383,10.37704086303711,19.01495361328125,34.4261360168457,28.6176700592041,158.76058959960938,25.35814666748047,29.017370223999023,52.5617561340332,39.40928268432617,30.29768180847168,14.0442476272583,26.920101165771484,38.12446975708008,22.53093910217285,21.876455307006836,9.912774085998535,0.5312978625297546,38.44181823730469,16.811765670776367,33.221004486083984,43.39884567260742,,13.938963890075684,10.84041690826416
2007-01-12,2.847456455230713,51.526756286621094,1.909999966621399,44.62566375732422,63.6545524597168,37.14387893676758,10.546093940734863,19.167387008666992,35.25809860229492,28.797607421875,160.34152221679688,25.377132415771484,28.922161102294922,52.92940902709961,39.35612106323242,30.096982955932617,13.989498138427734,26.744709014892578,38.468631744384766,22.800743103027344,22.2398738861084,9.890959739685059,0.5384820103645325,38.655906677246094,16.795978546142578,33.130149841308594,43.916900634765625,,14.02159595489502,10.926959991455078
2007-01-16,2.9220895767211914,51.688480377197266,1.9329999685287476,44.7164192199707,63.560665130615234,36.83300018310547,10.764873504638672,18.58414649963379,34.91729736328125,28.6503849029541,160.04180908203125,25.49100112915039,28.960235595703125,53.71795654296875,39.297054290771484,30.347848892211914,13.975085258483887,26.956396102905273,38.56555938720703,22.882192611694336,22.20424461364746,9.911781311035156,0.5393993854522705,38.655906677246094,16.667062759399414,33.1236572265625,44.43501663208008,,13.95773983001709,11.002114295959473
2007-01-17,2.8573873043060303,51.99089050292969,1.8940000534057617,44.78446578979492,64.16014099121094,37.249576568603516,10.603277206420898,17.88161277770996,35.49365234375,28.830322265625,159.77207946777344,25.49100112915039,28.909454345703125,53.29172134399414,39.491966247558594,30.372953414916992,14.003900527954102,27.131771087646484,38.25049591064453,22.91273307800293,22.161489486694336,9.896909713745117,0.5280880331993103,39.056270599365234,16.814393997192383,33.065284729003906,44.35528564453125,,13.852570533752441,10.977066040039062
2007-01-18,2.6804370880126953,51.82210159301758,1.8489999771118164,44.61809539794922,63.560665130615234,37.43080139160156,10.304943084716797,17.530338287353516,35.54378128051758,29.321046829223633,157.11207580566406,25.857967376708984,28.592050552368164,52.9880256652832,39.988040924072266,30.197328567504883,13.931869506835938,26.968486785888672,38.2020263671875,23.284343719482422,22.090232849121094,9.882038116455078,0.48437419533729553,39.16383743286133,16.74862289428711,33.27939224243164,42.88076400756836,,14.111749649047852,11.020332336425781
